Census Tract,East = 1/ West = 0 ,Total Populaton,Households,Housing Units,Minority Population,Percent Minority,Low Income,Percent Low Income,Less than HS Education,Percent Less than HS Education,Under Age 5,Percent Under Age 5,Over Age 64,Percent Over Age 64,Housing Units Built Before 1960,Percent Housing Units Built Before 1960,NATA Diesel Particulate Matter,NATA Cancer Risk,NATA Respiratory Hazard Index,Traffic Proximity,Wastewater Dischange Indicator,Superfund Proximity,RMP Proximity,TSDF Proximity,Ozone Concentration,PM 2.5 Concentration
3.7067E+11,0,726,353,429,60,0.082644628,145,0.199724518,0,0,53,0.073002755,153,0.210743802,300,0.699300699,0.864730873,48.19660608,1.815637123,29.97059914,1.278E-08,0.018944603,0.463881734,2.050706673,47.08548627,9.90766137
3.7067E+11,0,577,236,267,8,0.013864818,20,0.034662045,0,0,13,0.022530329,98,0.169844021,229,0.857677903,0.864730873,48.19660608,1.815637123,6.944721866,8.58E-09,0.027794396,0.507021063,2.182528797,47.08548627,9.90766137
3.7067E+11,0,1236,475,527,108,0.087378641,86,0.069579288,22,0.023809524,42,0.033980583,301,0.243527508,332,0.629981025,0.864730873,48.19660608,1.815637123,520.8572675,4.2E-09,0.025686662,0.318540331,1.944307164,47.08548627,9.90766137
3.7067E+11,1,1540,706,730,95,0.061688312,170,0.11038961,22,0.019503546,117,0.075974026,328,0.212987013,439,0.601369863,0.895327053,47.6308125,1.811907295,738.786539,6.19E-09,0.025433346,0.150906875,1.48109322,47.09547451,9.916819178
3.7067E+11,0,1472,547,569,124,0.08423913,79,0.053668478,5,0.004608295,76,0.051630435,388,0.263586957,227,0.398945518,0.895327053,47.6308125,1.811907295,546.4200971,2.238E-08,0.029075879,0.175674975,1.21734631,47.09547451,9.916819178
3.7067E+11,0,1471,751,760,91,0.061862678,481,0.326988443,0,0,0,0,494,0.335825969,187,0.246052632,0.745359868,46.42474411,1.727046067,353.885316,2.432E-08,0.027686915,0.196813041,0.94324599,46.86104248,9.85959726
3.7067E+11,0,1402,486,526,149,0.106276748,97,0.069186876,11,0.012195122,63,0.044935806,245,0.174750357,286,0.543726236,0.745359868,46.42474411,1.727046067,193.3817028,2.449E-08,0.028613261,0.380849325,1.651497972,46.86104248,9.85959726
3.7067E+11,1,2136,1081,1264,657,0.30758427,563,0.26544083,93,0.055889423,148,0.06928839,516,0.241573034,27,0.021360759,0.527731297,43.43384327,1.48205596,9.821720018,5.73E-09,0.031244648,0.138960158,0.182688001,46.65692876,9.82305863
3.7067E+11,0,1610,766,828,418,0.259627329,264,0.163975155,107,0.090601185,46,0.028571429,397,0.246583851,253,0.305555556,0.527731297,43.43384327,1.48205596,24.59620256,7.03E-09,0.030249435,0.156037099,0.41153242,46.65692876,9.82305863
3.7067E+11,0,1201,398,398,589,0.490424646,52,0.043297252,59,0.067121729,30,0.024979184,224,0.186511241,25,0.06281407,0.527731297,43.43384327,1.48205596,12.81464503,1.16E-09,0.016173241,0.143000732,0.31090496,46.65692876,9.82305863
3.7067E+11,0,1257,654,783,599,0.476531424,141,0.112171838,38,0.038539554,124,0.098647574,196,0.15592681,167,0.213282248,0.527731297,43.43384327,1.48205596,34.84376126,6.44E-09,0.029710991,0.146376913,0.697067927,46.65692876,9.82305863
3.7067E+11,0,792,289,426,552,0.696969697,658,0.830808081,133,0.290393013,93,0.117424242,72,0.090909091,58,0.136150235,0.438619868,42.09030085,1.393378994,3.495068286,0,0.031645045,0.123079681,0.358872463,46.42655033,9.778053151
3.7067E+11,0,1610,635,671,707,0.439130435,372,0.231055901,126,0.113309353,65,0.040372671,201,0.124844721,152,0.226527571,0.438619868,42.09030085,1.393378994,0,0,0.033139649,0.058701636,0.516326765,46.42655033,9.778053151
3.7067E+11,0,2043,692,772,401,0.19627998,42,0.020558003,70,0.051319648,64,0.031326481,257,0.125795399,31,0.04015544,0.438619868,42.09030085,1.393378994,0,0,0.033381708,0.081928709,0.256468923,46.42655033,9.778053151
3.7067E+11,0,1375,534,534,220,0.16,121,0.088,13,0.013306039,114,0.082909091,251,0.182545455,54,0.101123596,0.438619868,42.09030085,1.393378994,0.722763229,0,0.023049871,0.112257547,0.257747506,46.42655033,9.778053151
3.7067E+11,0,3116,1016,1067,2665,0.855263158,2314,0.742618742,474,0.288496652,328,0.105263158,44,0.014120668,53,0.049671978,0.696744137,42.77354632,1.453275499,16.75044784,0,0.029846529,0.086628409,0.48429967,46.30603529,9.761379726
3.7067E+11,0,2252,907,1083,1603,0.711811723,1423,0.631882771,425,0.322213798,190,0.084369449,150,0.06660746,84,0.077562327,0.696744137,42.77354632,1.453275499,0,0,0.02860687,0.10870828,0.429508038,46.30603529,9.761379726
3.7067E+11,0,1118,622,622,551,0.492844365,556,0.497316637,129,0.169291339,137,0.12254025,369,0.330053667,78,0.125401929,0.696744137,42.77354632,1.453275499,12.91014408,6.2E-10,0.030431931,0.070462454,0.440621687,46.30603529,9.761379726
3.7067E+11,0,1763,518,583,1524,0.864435621,1006,0.570618264,192,0.182336182,115,0.065229722,144,0.081678956,350,0.600343053,0.855611767,45.41409231,1.627288146,457.3723758,4.12E-09,0.027431678,0.251498413,1.428853542,46.37885817,9.778132329
3.7067E+11,0,1171,645,740,804,0.686592656,749,0.639624253,147,0.240983607,73,0.06233988,41,0.03501281,58,0.078378378,0.855611767,45.41409231,1.627288146,431.3392624,0,0.00884354,0.163080554,0.752933949,46.37885817,9.778132329
3.7067E+11,0,1831,608,854,1408,0.7689787,1499,0.818678318,148,0.225609756,186,0.101583834,0,0,12,0.014051522,0.855611767,45.41409231,1.627288146,269.123567,0,0.028569588,0.089221926,0.815603538,46.37885817,9.778132329
3.7067E+11,0,1759,840,948,1099,0.624786811,939,0.583229814,167,0.12556391,123,0.069926094,604,0.343376919,10,0.010548523,0.855611767,45.41409231,1.627288146,221.4921153,6.7E-10,0.028689064,0.193147768,0.842714563,46.37885817,9.778132329
3.7067E+11,0,2533,968,1086,2124,0.838531386,2228,0.87958942,385,0.307507987,205,0.080931702,225,0.088827477,62,0.057090239,0.788172636,46.85216384,1.723228212,127.8576549,3.761E-08,0.027516325,0.55246395,2.608307912,46.56190327,9.815918904
3.7067E+11,0,1775,1015,1156,530,0.298591549,783,0.504510309,7,0.007007007,15,0.008450704,334,0.188169014,81,0.070069204,0.788172636,46.85216384,1.723228212,779.4984053,7.67E-09,0.028682957,0.337270676,1.200065536,46.56190327,9.815918904
3.7067E+11,0,1732,825,825,1157,0.668013857,1132,0.653579677,76,0.069533394,233,0.134526559,80,0.046189376,129,0.156363636,0.788172636,46.85216384,1.723228212,35.08226393,4.5E-09,0.029400491,0.179236597,0.750621843,46.56190327,9.815918904
3.7067E+11,0,761,412,556,461,0.605781866,291,0.38239159,73,0.131531532,69,0.090670171,0,0,0,0,0.788172636,46.85216384,1.723228212,1466.310247,8.27E-09,0.028389747,0.270548503,1.374832079,46.56190327,9.815918904
3.7067E+11,0,1046,428,457,63,0.060229446,197,0.18833652,89,0.110972569,63,0.060229446,228,0.217973231,69,0.150984683,0.318888886,37.29276552,1.104093068,3.351597606,0.000315378,0.038301123,0.270757495,0.25291603,45.45485229,9.554806027
3.7067E+11,0,950,389,440,111,0.116842105,378,0.397894737,52,0.070365359,14,0.014736842,115,0.121052632,93,0.211363636,0.318888886,37.29276552,1.104093068,1.079725457,0.000199192,0.036841635,0.334071352,0.281128762,45.45485229,9.554806027
3.7067E+11,0,1950,841,962,353,0.181025641,521,0.267866324,86,0.057602143,65,0.033333333,377,0.193333333,146,0.151767152,0.318888886,37.29276552,1.104093068,0.414066456,0,0.027464588,0.149244633,0.840546648,45.45485229,9.554806027
3.7067E+11,0,1435,510,519,636,0.443205575,780,0.543554007,143,0.147574819,118,0.082229965,251,0.174912892,47,0.090558767,0.46318321,39.43331659,1.244681119,31.99397258,0,0.030149375,0.056442961,0.710004748,46.06249935,9.703749589
3.7067E+11,0,1058,390,390,459,0.433837429,326,0.308128544,56,0.07106599,77,0.072778828,184,0.173913043,106,0.271794872,0.46318321,39.43331659,1.244681119,14.41158728,0,0.029932418,0.067867175,0.383990139,46.06249935,9.703749589
3.7067E+11,0,1574,527,574,1147,0.728716645,999,0.634688691,248,0.29245283,210,0.133418043,142,0.09021601,40,0.069686411,0.46318321,39.43331659,1.244681119,1.64573787,0,0.009382809,0.114070659,0.484260471,46.06249935,9.703749589
3.7067E+11,1,1028,421,458,672,0.653696498,500,0.575373993,89,0.152658662,100,0.097276265,171,0.166342412,0,0,0.636295483,43.94833647,1.519348768,323.0667045,0,0.022446972,0.158483481,0.346836458,46.07607647,9.728520548
3.7067E+11,1,2229,898,989,1332,0.597577389,1111,0.543010753,374,0.227355623,25,0.011215792,397,0.178106774,165,0.166835187,0.636295483,43.94833647,1.519348768,446.4653737,0,0.02769249,0.111217608,0.238233077,46.07607647,9.728520548
3.7067E+11,1,1814,737,824,767,0.422822492,451,0.24862183,83,0.06484375,21,0.011576626,233,0.128445424,98,0.118932039,0.381876526,39.0024497,1.228540095,4.850865102,0,0.019023089,0.056167874,0.214268851,45.6008719,9.629011233
3.7067E+11,1,1066,451,495,172,0.161350844,274,0.258246937,75,0.084841629,14,0.013133208,262,0.245778612,48,0.096969697,0.381876526,39.0024497,1.228540095,3.666514269,0,0.025843268,0.04683664,0.164399469,45.6008719,9.629011233
3.7067E+11,0,2549,966,987,1253,0.49156532,949,0.372302864,393,0.250957854,248,0.097293056,331,0.129854845,339,0.343465046,0.381876526,39.0024497,1.228540095,17.77578091,0,0.025017702,0.088018237,0.701431261,45.6008719,9.629011233
3.7067E+11,0,1813,779,906,515,0.28405957,653,0.360176503,148,0.113409962,66,0.036403751,316,0.174296746,97,0.107064018,0.368213722,38.88619454,1.230836263,59.40251134,0,0.02812568,0.087357432,1.496921659,45.51320261,9.603832329
3.7067E+11,0,1575,648,719,91,0.057777778,250,0.159134309,79,0.068815331,82,0.052063492,190,0.120634921,92,0.127955494,0.368213722,38.88619454,1.230836263,66.48610569,0,0.02848448,0.079860605,1.20937548,45.51320261,9.603832329
3.7067E+11,0,1088,479,515,342,0.314338235,161,0.147977941,37,0.041760722,41,0.037683824,366,0.336397059,22,0.042718447,0.333815125,38.13855557,1.180546827,2.130751107,0,0.026574116,0.102614927,0.922451277,45.65208562,9.61207589
